id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4952268,"Wooden houseboat, unique location",689724,Eva & Bernard,,Noord-West,52.40619609262304,4.907385632250181,Entire home/apt,125,2,7,2015-09-11,1.22,1,341
5312713,ROOM WITH GREAT VIEW OVER THE WATER,4781137,Joke,,Noord-West,52.40557812300984,4.903993066485962,Private room,85,2,13,2015-12-01,1.43,4,351
1016999,Central and rustic situated B&B,5396559,Henk,,Noord-West,52.41772083826688,4.90569321162192,Private room,73,2,0,,,2,329
4752191,Romantic Circus wagon +2 free bikes,11944049,Maik,,Noord-West,52.41033801617976,4.908039962107901,Entire home/apt,45,1,29,2015-12-21,2.90,7,329
8618487,Volledig huis 10 minuten vanaf NDSM,32323845,Lesley,,Noord-West,52.4090255068906,4.901030296197062,Entire home/apt,110,1,0,,,1,338
7624372,Dubblebed for couples,39995537,Claudia,,Noord-West,52.40704476643015,4.914090318178557,Private room,75,2,1,2015-09-28,0.31,1,364
9358665,Privékamer in eensgezinswoning,30085493,Erwin,,Noord-West,52.40216585111265,4.912873894243796,Private room,50,1,2,2016-01-02,2,1,265
4257245,Room with living near NDSM,18404814,Audrey,,Noord-West,52.40672191420352,4.902280165321463,Private room,79,1,5,2015-12-30,1.10,1,365
6793478,Lovely house Amsterdam Centrum,33645148,Bo&Dennis,,Noord-West,52.41218669078084,4.915148543326571,Entire home/apt,100,2,35,2015-12-09,5.36,1,51
8378116,Dutch Flower House + 2 free bikes,42564954,Florus,,Noord-West,52.4104534673401,4.906564529961288,Entire home/apt,40,1,10,2015-11-22,2.86,3,347
7512251,Amsterdam hotspot with free parking,12693120,Elles,,Noord-West,52.40242493123144,4.913631663903444,Entire home/apt,100,4,1,2015-09-19,0.28,2,138
3144955,Cozy Chicken Caravan + 2 free bikes,11944049,Maik,,Noord-West,52.41033528248949,4.9079235175493325,Entire home/apt,40,1,56,2015-11-02,2.92,7,348
8840817,Cute Caravan + 2 free bikes,11944049,Maik,,Noord-West,52.41062742312808,4.9063304913674655,Entire home/apt,40,1,2,2015-11-06,0.94,7,359
8058674,The Dutch Lion & 2 free bikes,42564954,Florus,,Noord-West,52.409141409097074,4.907978754685674,Entire home/apt,50,1,6,2015-11-21,1.71,3,355
3385173,Spacious new house near city centre,17078793,Ilja,,Noord-West,52.40942037206237,4.906514099395513,Entire home/apt,225,2,20,2015-10-26,1.14,1,285
4961851,Spacious and Cozy Apartment,25578633,Benjamin,,Noord-West,52.406569490585696,4.908171581123927,Entire home/apt,112,2,43,2015-12-14,4.12,1,361
7097981,Family House with big garden,37203380,Simonetta,,Noord-West,52.41070985994159,4.907993266299391,Entire home/apt,200,3,2,2015-09-28,0.44,1,365
6429875,Spacious house for family / friends,8236804,Elien,,Noord-West,52.40711686965244,4.90413624918011,Entire home/apt,155,2,1,2016-01-01,1,2,0
2829905,Simple room FREE PARKING & WIFI,9849176,Flow & Dan,,Noord-West,52.41089572642337,4.895938812227113,Private room,50,2,34,2015-01-02,1.64,1,94
8694219,2 rooms for max 4 people,13270719,Igor,,Noord-West,52.40605139679166,4.900400920539482,Private room,82,1,0,,,2,365
4338297,Family house with big garden,22523750,Richard & Martine,,Noord-West,52.41066902828747,4.891140811885761,Entire home/apt,195,3,22,2015-10-28,1.60,1,353
2013595,Cozy little house in trendy north,10358685,Annette,,Noord-West,52.41436958229927,4.8900327703074415,Entire home/apt,95,3,1,2016-01-01,1,1,214
6770259,Private & stylish garden guesthouse,15756422,Marijke,,Noord-West,52.41745841041692,4.899786571061315,Entire home/apt,129,3,4,2015-09-24,0.64,1,178
7036515,Amsterdam off the beaten track,33296083,Jorgen,,Noord-West,52.40498501864558,4.899797973997264,Entire home/apt,100,1,0,,,1,365
6546899,Lovely house - NDSM free parking,34245670,Martijn,,Noord-West,52.41505841969124,4.893954873714969,Entire home/apt,152,1,1,2015-08-04,0.20,1,196
9366344,Charming house/ Free parking,21406789,Eline,,Noord-West,52.41661305950058,4.883068345769144,Entire home/apt,81,2,5,2015-12-23,3.06,1,347
